,dataset,embedding_model,agg_method,similarity,edge constructor,clusterer,depth,connected_nodes,percentage_connected,degree_of_separation
124,medium1k,mpnet,mean,cosine,mutual_knn50,kmeans70,2.0,96.0,0.046,2.0291211567652065
125,medium1k,mpnet,mean,cosine,mutual_knn50,kmeans70,3.0,1130.0,0.546,2.0291211567652065
126,medium1k,mpnet,mean,cosine,mutual_knn50,gmm50,1.0,47.0,0.023,1.8904000578307305
127,medium1k,mpnet,mean,cosine,mutual_knn50,gmm50,2.0,49.0,0.024,1.8904000578307305
128,medium1k,mpnet,mean,cosine,mutual_knn50,gmm50,3.0,1950.0,0.951,1.8904000578307305
129,medium1k,mpnet,mean,cosine,mutual_knn50,gmm70,1.0,539.0,0.26,2.071436277948893
130,medium1k,mpnet,mean,cosine,mutual_knn50,gmm70,2.0,40.0,0.019,2.071436277948893
131,medium1k,mpnet,mean,cosine,mutual_knn50,gmm70,3.0,1336.0,0.645,2.071436277948893
132,medium1k,mpnet,mean,cosine,mutual_knn70,kmeans50,1.0,19.0,0.009,1.8795774708982158
133,medium1k,mpnet,mean,cosine,mutual_knn70,kmeans50,2.0,49.0,0.024,1.8795774708982158
134,medium1k,mpnet,mean,cosine,mutual_knn70,kmeans50,3.0,1977.0,0.964,1.8795774708982158
135,medium1k,mpnet,mean,cosine,mutual_knn70,kmeans70,1.0,3.0,0.001,1.974831240001695
136,medium1k,mpnet,mean,cosine,mutual_knn70,kmeans70,2.0,69.0,0.033,1.974831240001695
137,medium1k,mpnet,mean,cosine,mutual_knn70,kmeans70,3.0,1995.0,0.963,1.974831240001695
138,medium1k,mpnet,mean,cosine,mutual_knn70,gmm50,1.0,47.0,0.023,1.9714779588630644
139,medium1k,mpnet,mean,cosine,mutual_knn70,gmm50,2.0,49.0,0.024,1.9714779588630644
140,medium1k,mpnet,mean,cosine,mutual_knn70,gmm50,3.0,1950.0,0.951,1.9714779588630644
141,medium1k,mpnet,mean,cosine,mutual_knn70,gmm70,1.0,3.0,0.001,1.9605374748890216
142,medium1k,mpnet,mean,cosine,mutual_knn70,gmm70,2.0,69.0,0.033,1.9605374748890216
143,medium1k,mpnet,mean,cosine,mutual_knn70,gmm70,3.0,1995.0,0.963,1.9605374748890216
144,medium1k,mpnet,mean,cosine,spectral50,kmeans50,,,,
145,medium1k,mpnet,mean,cosine,spectral50,kmeans70,,,,
146,medium1k,mpnet,mean,cosine,spectral50,gmm50,,,,
147,medium1k,mpnet,mean,cosine,spectral50,gmm70,,,,
148,medium1k,mpnet,mean,cosine,spectral70,kmeans50,,,,
149,medium1k,mpnet,mean,cosine,spectral70,kmeans70,,,,
150,medium1k,mpnet,mean,cosine,spectral70,gmm50,,,,
151,medium1k,mpnet,mean,cosine,spectral70,gmm70,,,,
152,medium1k,mpnet,mean,soft_cosine,random5,kmeans50,1.0,285.0,0.139,2.3579880110919476
153,medium1k,mpnet,mean,soft_cosine,random5,kmeans50,2.0,770.0,0.375,2.3579880110919476
154,medium1k,mpnet,mean,soft_cosine,random5,kmeans50,3.0,627.0,0.306,2.3579880110919476
155,medium1k,mpnet,mean,soft_cosine,random5,kmeans70,1.0,420.0,0.203,2.320632409442354
156,medium1k,mpnet,mean,soft_cosine,random5,kmeans70,2.0,802.0,0.387,2.320632409442354
157,medium1k,mpnet,mean,soft_cosine,random5,kmeans70,3.0,501.0,0.242,2.320632409442354
158,medium1k,mpnet,mean,soft_cosine,random5,gmm50,1.0,313.0,0.153,2.469929844864364
159,medium1k,mpnet,mean,soft_cosine,random5,gmm50,2.0,936.0,0.456,2.469929844864364
160,medium1k,mpnet,mean,soft_cosine,random5,gmm50,3.0,433.0,0.211,2.469929844864364
