,dataset,embedding_model,agg_method,similarity,edge constructor,clusterer,depth,connected_nodes,percentage_connected,degree_of_separation
143,medium1k,nomic,mean,cosine,mutual_knn70,gmm70,3.0,1999.0,0.965,2.3610913583832067
144,medium1k,nomic,mean,cosine,spectral50,kmeans50,,,,
145,medium1k,nomic,mean,cosine,spectral50,kmeans70,,,,
146,medium1k,nomic,mean,cosine,spectral50,gmm50,,,,
147,medium1k,nomic,mean,cosine,spectral50,gmm70,,,,
148,medium1k,nomic,mean,cosine,spectral70,kmeans50,,,,
149,medium1k,nomic,mean,cosine,spectral70,kmeans70,,,,
150,medium1k,nomic,mean,cosine,spectral70,gmm50,,,,
151,medium1k,nomic,mean,cosine,spectral70,gmm70,,,,
152,medium1k,nomic,mean,soft_cosine,random5,kmeans50,1.0,267.0,0.13,2.973729199019529
153,medium1k,nomic,mean,soft_cosine,random5,kmeans50,2.0,829.0,0.404,2.973729199019529
154,medium1k,nomic,mean,soft_cosine,random5,kmeans50,3.0,628.0,0.306,2.973729199019529
155,medium1k,nomic,mean,soft_cosine,random5,kmeans70,1.0,412.0,0.199,3.1548837226599895
156,medium1k,nomic,mean,soft_cosine,random5,kmeans70,2.0,904.0,0.437,3.1548837226599895
157,medium1k,nomic,mean,soft_cosine,random5,kmeans70,3.0,454.0,0.219,3.1548837226599895
158,medium1k,nomic,mean,soft_cosine,random5,gmm50,1.0,252.0,0.123,3.1703702981057376
159,medium1k,nomic,mean,soft_cosine,random5,gmm50,2.0,782.0,0.381,3.1703702981057376
160,medium1k,nomic,mean,soft_cosine,random5,gmm50,3.0,696.0,0.339,3.1703702981057376
161,medium1k,nomic,mean,soft_cosine,random5,gmm70,1.0,381.0,0.184,3.271949260375079
162,medium1k,nomic,mean,soft_cosine,random5,gmm70,2.0,808.0,0.39,3.271949260375079
163,medium1k,nomic,mean,soft_cosine,random5,gmm70,3.0,525.0,0.254,3.271949260375079
164,medium1k,nomic,mean,soft_cosine,random10,kmeans50,1.0,395.0,0.193,2.8525992068857287
165,medium1k,nomic,mean,soft_cosine,random10,kmeans50,2.0,608.0,0.296,2.8525992068857287
166,medium1k,nomic,mean,soft_cosine,random10,kmeans50,3.0,707.0,0.345,2.8525992068857287
167,medium1k,nomic,mean,soft_cosine,random10,kmeans70,1.0,651.0,0.314,2.8307526673910752
168,medium1k,nomic,mean,soft_cosine,random10,kmeans70,2.0,656.0,0.317,2.8307526673910752
