,dataset,embedding_model,agg_method,similarity,edge constructor,clusterer,depth,connected_nodes,percentage_connected,degree_of_separation
259,medium1k,minilm,mean,soft_cosine,threshold0.7,gmm70,3.0,1234.0,0.596,2.1635867516790626
260,medium1k,minilm,mean,soft_cosine,threshold0.9,kmeans50,1.0,100.0,0.049,2.824927721420924
261,medium1k,minilm,mean,soft_cosine,threshold0.9,kmeans50,2.0,103.0,0.05,2.824927721420924
262,medium1k,minilm,mean,soft_cosine,threshold0.9,kmeans50,3.0,38.0,0.019,2.824927721420924
263,medium1k,minilm,mean,soft_cosine,threshold0.9,kmeans70,1.0,101.0,0.049,2.8297497633055513
264,medium1k,minilm,mean,soft_cosine,threshold0.9,kmeans70,2.0,99.0,0.048,2.8297497633055513
265,medium1k,minilm,mean,soft_cosine,threshold0.9,kmeans70,3.0,35.0,0.017,2.8297497633055513
266,medium1k,minilm,mean,soft_cosine,threshold0.9,gmm50,1.0,83.0,0.04,2.9429950992453775
267,medium1k,minilm,mean,soft_cosine,threshold0.9,gmm50,2.0,130.0,0.063,2.9429950992453775
268,medium1k,minilm,mean,soft_cosine,threshold0.9,gmm50,3.0,185.0,0.09,2.9429950992453775
269,medium1k,minilm,mean,soft_cosine,threshold0.9,gmm70,1.0,80.0,0.039,2.813355623891479
270,medium1k,minilm,mean,soft_cosine,threshold0.9,gmm70,2.0,89.0,0.043,2.813355623891479
271,medium1k,minilm,mean,soft_cosine,threshold0.9,gmm70,3.0,259.0,0.125,2.813355623891479
272,medium1k,minilm,mean,soft_cosine,mutual_knn50,kmeans50,1.0,6.0,0.003,2.153246719094001
273,medium1k,minilm,mean,soft_cosine,mutual_knn50,kmeans50,2.0,49.0,0.024,2.153246719094001
274,medium1k,minilm,mean,soft_cosine,mutual_knn50,kmeans50,3.0,1994.0,0.972,2.153246719094001
275,medium1k,minilm,mean,soft_cosine,mutual_knn50,kmeans70,1.0,454.0,0.219,2.310977074078151
276,medium1k,minilm,mean,soft_cosine,mutual_knn50,kmeans70,2.0,78.0,0.038,2.310977074078151
277,medium1k,minilm,mean,soft_cosine,mutual_knn50,kmeans70,3.0,1395.0,0.674,2.310977074078151
278,medium1k,minilm,mean,soft_cosine,mutual_knn50,gmm50,1.0,46.0,0.022,2.0019930152230243
279,medium1k,minilm,mean,soft_cosine,mutual_knn50,gmm50,2.0,49.0,0.024,2.0019930152230243
280,medium1k,minilm,mean,soft_cosine,mutual_knn50,gmm50,3.0,1950.0,0.951,2.0019930152230243
281,medium1k,minilm,mean,soft_cosine,mutual_knn50,gmm70,1.0,621.0,0.3,2.295015312201604
282,medium1k,minilm,mean,soft_cosine,mutual_knn50,gmm70,2.0,55.0,0.027,2.295015312201604
283,medium1k,minilm,mean,soft_cosine,mutual_knn50,gmm70,3.0,1262.0,0.609,2.295015312201604
284,medium1k,minilm,mean,soft_cosine,mutual_knn70,kmeans50,1.0,6.0,0.003,2.191102650834293
285,medium1k,minilm,mean,soft_cosine,mutual_knn70,kmeans50,2.0,49.0,0.024,2.191102650834293
286,medium1k,minilm,mean,soft_cosine,mutual_knn70,kmeans50,3.0,1994.0,0.972,2.191102650834293
287,medium1k,minilm,mean,soft_cosine,mutual_knn70,kmeans70,1.0,4.0,0.002,1.9607764834707433
288,medium1k,minilm,mean,soft_cosine,mutual_knn70,kmeans70,2.0,69.0,0.033,1.9607764834707433
289,medium1k,minilm,mean,soft_cosine,mutual_knn70,kmeans70,3.0,1996.0,0.964,1.9607764834707433
290,medium1k,minilm,mean,soft_cosine,mutual_knn70,gmm50,1.0,46.0,0.022,1.997073483418643
291,medium1k,minilm,mean,soft_cosine,mutual_knn70,gmm50,2.0,49.0,0.024,1.997073483418643
292,medium1k,minilm,mean,soft_cosine,mutual_knn70,gmm50,3.0,1950.0,0.951,1.997073483418643
293,medium1k,minilm,mean,soft_cosine,mutual_knn70,gmm70,1.0,3.0,0.001,2.026214314040853
294,medium1k,minilm,mean,soft_cosine,mutual_knn70,gmm70,2.0,69.0,0.033,2.026214314040853
295,medium1k,minilm,mean,soft_cosine,mutual_knn70,gmm70,3.0,1995.0,0.963,2.026214314040853
296,medium1k,minilm,mean,soft_cosine,spectral50,kmeans50,,,,
297,medium1k,minilm,mean,soft_cosine,spectral50,kmeans70,,,,
298,medium1k,minilm,mean,soft_cosine,spectral50,gmm50,,,,
299,medium1k,minilm,mean,soft_cosine,spectral50,gmm70,,,,
300,medium1k,minilm,mean,soft_cosine,spectral70,kmeans50,,,,
301,medium1k,minilm,mean,soft_cosine,spectral70,kmeans70,,,,
302,medium1k,minilm,mean,soft_cosine,spectral70,gmm50,,,,
303,medium1k,minilm,mean,soft_cosine,spectral70,gmm70,,,,
304,medium1k,minilm,mean,euclidean,random5,kmeans50,1.0,265.0,0.129,2.325648161659547
305,medium1k,minilm,mean,euclidean,random5,kmeans50,2.0,766.0,0.373,2.325648161659547
306,medium1k,minilm,mean,euclidean,random5,kmeans50,3.0,669.0,0.326,2.325648161659547
307,medium1k,minilm,mean,euclidean,random5,kmeans70,1.0,427.0,0.206,2.4572087126816142
308,medium1k,minilm,mean,euclidean,random5,kmeans70,2.0,803.0,0.388,2.4572087126816142
309,medium1k,minilm,mean,euclidean,random5,kmeans70,3.0,478.0,0.231,2.4572087126816142
310,medium1k,minilm,mean,euclidean,random5,gmm50,1.0,314.0,0.153,2.4270575819788753
311,medium1k,minilm,mean,euclidean,random5,gmm50,2.0,835.0,0.407,2.4270575819788753
312,medium1k,minilm,mean,euclidean,random5,gmm50,3.0,497.0,0.242,2.4270575819788753
313,medium1k,minilm,mean,euclidean,random5,gmm70,1.0,408.0,0.197,2.4876082283622436
314,medium1k,minilm,mean,euclidean,random5,gmm70,2.0,781.0,0.377,2.4876082283622436
315,medium1k,minilm,mean,euclidean,random5,gmm70,3.0,503.0,0.243,2.4876082283622436
316,medium1k,minilm,mean,euclidean,random10,kmeans50,1.0,390.0,0.19,2.1547025126038175
